item,detection recall %,relevant,relevant retrieved
BER_0396_011220_011280.rttm,100.00,0.00,0.00
BER_1196_034740_034800.rttm,100.00,0.00,0.00
BER_1618_031680_031740.rttm,100.00,0.00,0.00
BER_1844_030000_030060.rttm,100.00,0.00,0.00
BER_2927_026160_026220.rttm,72.38,2.39,1.73
BER_3749_004620_004680.rttm,100.00,0.00,0.00
BER_3895_043560_043620.rttm,100.00,0.00,0.00
BER_5750_030480_030540.rttm,100.00,0.00,0.00
BER_6035_030360_030420.rttm,100.00,0.00,0.00
BER_7758_034320_034380.rttm,94.05,51.59,48.52
ROS_0790_014460_014520.rttm,100.00,0.00,0.00
ROS_1299_004320_004380.rttm,100.00,0.00,0.00
ROS_2534_004380_004440.rttm,100.00,0.00,0.00
ROS_3510_004740_004800.rttm,100.00,0.00,0.00
ROS_6026_002100_002160.rttm,100.00,0.00,0.00
ROS_7903_002820_002880.rttm,30.20,107.52,32.47
ROS_8788_009120_009180.rttm,100.00,0.00,0.00
ROS_9051_014760_014820.rttm,98.79,4.96,4.90
ROS_9426_010860_010920.rttm,100.00,0.00,0.00
ROS_9909_010680_010740.rttm,0.00,0.10,0.00
ROW_1156_034560_034620.rttm,0.00,1.12,0.00
ROW_1735_015060_015120.rttm,100.00,0.00,0.00
ROW_1768_016980_017040.rttm,100.00,0.00,0.00
ROW_2745_020220_020280.rttm,100.00,0.00,0.00
ROW_3486_033120_033180.rttm,85.25,32.14,27.40
ROW_7798_019560_019620.rttm,100.00,0.00,0.00
ROW_8357_030300_030360.rttm,100.00,0.00,0.00
ROW_9408_033360_033420.rttm,100.00,0.00,0.00
ROW_9492_028020_028080.rttm,100.00,0.00,0.00
ROW_9801_000000_000001.rttm,100.00,0.00,0.00
ROW_9801_036900_036960.rttm,100.00,0.00,0.00
SOD_1499_024300_024360.rttm,100.00,0.00,0.00
SOD_3542_006420_006480.rttm,100.00,0.00,0.00
SOD_3634_036120_036180.rttm,100.00,0.00,0.00
SOD_4483_006600_006660.rttm,100.00,0.00,0.00
SOD_4736_013800_013860.rttm,100.00,0.00,0.00
SOD_8445_017640_017700.rttm,100.00,0.00,0.00
SOD_8924_017340_017400.rttm,100.00,0.00,0.00
SOD_9527_020520_020580.rttm,100.00,0.00,0.00
SOD_9854_019440_019500.rttm,100.00,0.00,0.00
SOD_9858_002640_002700.rttm,100.00,0.00,0.00
TSE_0643_020364_020424.rttm,100.00,0.00,0.00
TSE_2109_029116_029176.rttm,100.00,0.00,0.00
TSE_2625_027365_027425.rttm,100.00,0.00,0.00
TSE_3026_005809_005869.rttm,100.00,0.00,0.00
TSE_6216_013922_013982.rttm,100.00,0.00,0.00
TSE_7176_001701_001761.rttm,100.00,0.00,0.00
TSE_7220_030589_030649.rttm,100.00,0.00,0.00
TSE_7326_006918_006978.rttm,100.00,0.00,0.00
TSE_8179_001514_001574.rttm,100.00,0.00,0.00
TSE_8787_025505_025565.rttm,100.00,0.00,0.00
WAR_1130_023040_023100.rttm,100.00,0.00,0.00
WAR_2535_032640_032700.rttm,100.00,0.00,0.00
WAR_3090_047040_047100.rttm,100.00,0.00,0.00
WAR_3528_006660_006720.rttm,100.00,0.00,0.00
WAR_4995_026700_026760.rttm,100.00,0.00,0.00
WAR_5613_044460_044520.rttm,100.00,0.00,0.00
WAR_5959_022920_022980.rttm,0.00,35.60,0.00
WAR_9398_005100_005160.rttm,100.00,0.00,0.00
WAR_9427_056820_056880.rttm,100.00,0.00,0.00
WAR_9755_035340_035400.rttm,94.20,8.10,7.63
TOTAL,50.37,243.52,122.65
